Mahesh Lunch Home,https://www.tripadvisor.com/Restaurant_Review-g304554-d861062-Reviews-Mahesh_Lunch_Home-Mumbai_Bombay_Maharashtra.html,Busy place,Only for Seafood Perks!,,,
Fifty Five East,https://www.tripadvisor.com/Restaurant_Review-g304554-d1812889-Reviews-Fifty_Five_East-Mumbai_Bombay_Maharashtra.html,Something Different,Breakfast and lunch,,,
Zodiac Grill,https://www.tripadvisor.com/Restaurant_Review-g304554-d788836-Reviews-Zodiac_Grill-Mumbai_Bombay_Maharashtra.html,Best grill items.,Fine dining,,,
Leopold Cafe and Bar,https://www.tripadvisor.com/Restaurant_Review-g304554-d787742-Reviews-Leopold_Cafe_and_Bar-Mumbai_Bombay_Maharashtra.html,You don't go here for the food but the atm...,Leopolds,,,
Shiv Sagar,https://www.tripadvisor.com/Restaurant_Review-g304554-d1008676-Reviews-Shiv_Sagar-Mumbai_Bombay_Maharashtra.html,Sumptuous food,VERY APPETISING MEAL AT SHIV SAGAR,,,
Wasabi By Morimoto,https://www.tripadvisor.com/Restaurant_Review-g304554-d788855-Reviews-Wasabi_By_Morimoto-Mumbai_Bombay_Maharashtra.html,Service at its bedt,best in the taj mahal,,,
Sigree Global Grill,https://www.tripadvisor.com/Restaurant_Review-g304554-d4567596-Reviews-Sigree_Global_Grill-Mumbai_Bombay_Maharashtra.html,"Good food, good service, average ambience.",Celebrate the success,,,
The Konkan Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d1138796-Reviews-The_Konkan_Cafe-Mumbai_Bombay_Maharashtra.html,Sea food delight,Fluff Appams and Spicy Curry!,,,
The Table,https://www.tripadvisor.com/Restaurant_Review-g304554-d2077192-Reviews-The_Table-Mumbai_Bombay_Maharashtra.html,"Great Food, Highly recommended",Outstanding,,,
Theobroma,https://www.tripadvisor.com/Restaurant_Review-g304554-d946007-Reviews-Theobroma-Mumbai_Bombay_Maharashtra.html,FoodSoldier,Amazing dessert,,,
Mainland China,https://www.tripadvisor.com/Restaurant_Review-g1532344-d3194542-Reviews-Mainland_China-Navi_Mumbai_Mumbai_Bombay_Maharashtra.html,Good food,Finally visited,,,
The Nutcracker,https://www.tripadvisor.com/Restaurant_Review-g304554-d7360744-Reviews-The_Nutcracker-Mumbai_Bombay_Maharashtra.html,Western fusion for those who don't want cu...,Old world charm new world tastes,,,
The Bar Stock Exchange,https://www.tripadvisor.com/Restaurant_Review-g304554-d7696136-Reviews-The_Bar_Stock_Exchange-Mumbai_Bombay_Maharashtra.html,Nice ambience and cheap menu,Unique concept BUT generally cheap prices!,,,
Smoke House Deli,https://www.tripadvisor.com/Restaurant_Review-g304554-d3378807-Reviews-Smoke_House_Deli-Mumbai_Bombay_Maharashtra.html,Smoke House Deli - The Best,An amazing afternoon!!,,,
Bademiya,https://www.tripadvisor.com/Restaurant_Review-g304554-d779818-Reviews-Bademiya-Mumbai_Bombay_Maharashtra.html,Delightful food,The king of Kababs,,,
Mostly Grills,https://www.tripadvisor.com/Restaurant_Review-g304554-d1139190-Reviews-Mostly_Grills-Mumbai_Bombay_Maharashtra.html,Patrick wouters,Suber Hospitality from mostly grills team,,,
Skky,https://www.tripadvisor.com/Restaurant_Review-g304554-d3841848-Reviews-Skky-Mumbai_Bombay_Maharashtra.html,Love this place!!,Suprozed by the Ambiance.,,,
Baghdadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d2445216-Reviews-Baghdadi_Restaurant-Mumbai_Bombay_Maharashtra.html,Legendary Restaurant,Once in a lifetime experience,,,
Woodside Inn Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d1945339-Reviews-Woodside_Inn_Restaurant-Mumbai_Bombay_Maharashtra.html,Love the place!,"Great Place , Good Burgers and Pizza and C...",,,
Cafe Zoe,https://www.tripadvisor.com/Restaurant_Review-g304554-d2659006-Reviews-Cafe_Zoe-Mumbai_Bombay_Maharashtra.html,Love this Place,Just Desserts worth visiting,,,
Prithvi cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d1008673-Reviews-Prithvi_cafe-Mumbai_Bombay_Maharashtra.html,Average food in a uber cool ambiance,Quirky outdoor ambiance..fun place !..next...,,,
Trishna Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d5913653-Reviews-Trishna_Restaurant-Mumbai_Bombay_Maharashtra.html,Delicious Seafood,All time favourite,,,
Gaylord,https://www.tripadvisor.com/Restaurant_Review-g304554-d781747-Reviews-Gaylord-Mumbai_Bombay_Maharashtra.html,different hotel..!!,A place to unwind with you family,,,
